App§Category§Rating§Reviews§Size§Installs§Type§Price§Content Rating§Genres§Last Updated§Current Ver§Android Ver
Pixel Draw - Number Art Coloring Book§ART_AND_DESIGN§4.3§967§2.8M§100,000+§Free§0§Everyone§Art & Design;Creativity§June 20, 2018§1.1§4.4 and up
FlipaClip - Cartoon animation§ART_AND_DESIGN§4.3§194216§39M§5,000,000+§Free§0§Everyone§Art & Design§August 3, 2018§2.2.5§4.0.3 and up
How To Draw Food§ART_AND_DESIGN§4.3§845§7.9M§100,000+§Free§0§Everyone§Art & Design§May 28, 2018§1.0§2.3 and up
Offroad Oil Tanker Driver Transport Truck 2019§AUTO_AND_VEHICLES§4.3§542§33M§100,000+§Free§0§Everyone§Auto & Vehicles§July 31, 2018§4.0§4.1 and up
ezETC (ETC balance inquiry, meter trial, real-time traffic)§AUTO_AND_VEHICLES§4.3§38846§8.6M§1,000,000+§Free§0§Everyone§Auto & Vehicles§July 28, 2018§2.20 Build 02§4.1 and up
Ulysse Speedometer§AUTO_AND_VEHICLES§4.3§40211§Varies with device§5,000,000+§Free§0§Everyone§Auto & Vehicles§July 30, 2018§Varies with device§Varies with device
Police Detector (Speed Camera Radar)§AUTO_AND_VEHICLES§4.3§3574§3.9M§1,000,000+§Free§0§Everyone 10+§Auto & Vehicles§July 4, 2018§1.6§4.0 and up
Speed Camera Detector - Traffic & Speed Alert§AUTO_AND_VEHICLES§4.3§138§5.4M§100,000+§Free§0§Everyone§Auto & Vehicles§July 23, 2018§1.0§4.0.3 and up
BEST CAR SOUNDS§AUTO_AND_VEHICLES§4.3§348§38M§100,000+§Free§0§Everyone§Auto & Vehicles§July 29, 2018§1.0.3§2.3 and up
Filters for Selfie§BEAUTY§4.3§8572§25M§1,000,000+§Free§0§Everyone§Beauty§May 10, 2018§1.1.0§4.0 and up
Sweet Selfie Beauty Camera§BEAUTY§4.3§601§35M§100,000+§Free§0§Everyone§Beauty§June 2, 2018§2.0.0§4.0 and up
Eyeliner step by step 2018§BEAUTY§4.3§18§3.2M§5,000+§Free§0§Everyone§Beauty§June 1, 2018§1.2.13§4.0.3 and up
FamilySearch Tree§BOOKS_AND_REFERENCE§4.3§17506§17M§1,000,000+§Free§0§Everyone§Books & Reference§July 20, 2018§2.3.18§4.1 and up
Ancestry§BOOKS_AND_REFERENCE§4.3§64513§Varies with device§5,000,000+§Free§0§Everyone§Books & Reference§July 31, 2018§Varies with device§Varies with device
Indeed Job Search§BUSINESS§4.3§674730§Varies with device§50,000,000+§Free§0§Everyone§Business§May 21, 2018§Varies with device§Varies with device
ADP Mobile Solutions§BUSINESS§4.3§85185§29M§5,000,000+§Free§0§Everyone§Business§July 17, 2018§3.4.2§5.0 and up
Snag - Jobs Hiring Now§BUSINESS§4.3§32584§Varies with device§1,000,000+§Free§0§Everyone§Business§May 4, 2018§Varies with device§Varies with device
OfficeSuite : Free Office + PDF Editor§BUSINESS§4.3§1002861§35M§100,000,000+§Free§0§Everyone§Business§August 2, 2018§9.7.14188§4.1 and up
SuperLivePro§BUSINESS§4.3§46353§21M§1,000,000+§Free§0§Everyone§Business§April 13, 2016§2.8§1.5 and up
SEEK Job Search§BUSINESS§4.3§14955§Varies with device§1,000,000+§Free§0§Everyone§Business§July 30, 2018§Varies with device§Varies with device
Job Korea - Career Jobs§BUSINESS§4.3§10600§6.5M§1,000,000+§Free§0§Everyone§Business§August 1, 2018§2.5.6§4.0 and up
SignEasy | Sign and Fill PDF and other Documents§BUSINESS§4.3§8978§Varies with device§1,000,000+§Free§0§Everyone§Business§July 25, 2018§Varies with device§Varies with device
Google Ads§BUSINESS§4.3§29313§20M§5,000,000+§Free§0§Everyone§Business§July 30, 2018§1.12.0§4.0.3 and up
QuickBooks Accounting: Invoicing & Expenses§BUSINESS§4.3§23175§41M§1,000,000+§Free§0§Everyone§Business§July 13, 2018§18.7§4.1 and up
Asana: organize team projects§BUSINESS§4.3§20815§10M§1,000,000+§Free§0§Everyone§Business§July 26, 2018§6.4.4§5.0 and up
Google Ads§BUSINESS§4.3§29313§20M§5,000,000+§Free§0§Everyone§Business§July 30, 2018§1.12.0§4.0.3 and up
QuickBooks Accounting: Invoicing & Expenses§BUSINESS§4.3§23175§41M§1,000,000+§Free§0§Everyone§Business§July 13, 2018§18.7§4.1 and up
Asana: organize team projects§BUSINESS§4.3§20815§10M§1,000,000+§Free§0§Everyone§Business§July 26, 2018§6.4.4§5.0 and up
SignEasy | Sign and Fill PDF and other Documents§BUSINESS§4.3§8978§Varies with device§1,000,000+§Free§0§Everyone§Business§July 25, 2018§Varies with device§Varies with device
OfficeSuite : Free Office + PDF Editor§BUSINESS§4.3§1002859§35M§100,000,000+§Free§0§Everyone§Business§August 2, 2018§9.7.14188§4.1 and up
QuickBooks Accounting: Invoicing & Expenses§BUSINESS§4.3§23175§41M§1,000,000+§Free§0§Everyone§Business§July 13, 2018§18.7§4.1 and up
Messenger for SMS§COMMUNICATION§4.3§125257§17M§10,000,000+§Free§0§Teen§Communication§June 6, 2018§1.8.9§4.1 and up
Google Chrome: Fast & Secure§COMMUNICATION§4.3§9642995§Varies with device§1,000,000,000+§Free§0§Everyone§Communication§August 1, 2018§Varies with device§Varies with device
Gmail§COMMUNICATION§4.3§4604324§Varies with device§1,000,000,000+§Free§0§Everyone§Communication§August 2, 2018§Varies with device§Varies with device
Viber Messenger§COMMUNICATION§4.3§11334799§Varies with device§500,000,000+§Free§0§Everyone§Communication§July 18, 2018§Varies with device§Varies with device
My Tele2§COMMUNICATION§4.3§158679§8.8M§5,000,000+§Free§0§Everyone§Communication§August 3, 2018§2.4.1§4.4 and up
Yahoo Mail – Stay Organized§COMMUNICATION§4.3§4187998§16M§100,000,000+§Free§0§Everyone§Communication§July 18, 2018§5.29.3§4.4 and up
imo beta free calls and text§COMMUNICATION§4.3§659395§11M§100,000,000+§Free§0§Everyone§Communication§June 7, 2018§9.8.000000010492§4.0 and up
imo free video calls and chat§COMMUNICATION§4.3§4785892§11M§500,000,000+§Free§0§Everyone§Communication§June 8, 2018§9.8.000000010501§4.0 and up
Contacts§COMMUNICATION§4.3§66602§Varies with device§50,000,000+§Free§0§Everyone§Communication§June 26, 2018§2.8.4.201036949§5.0 and up
Call Free – Free Call§COMMUNICATION§4.3§30209§15M§5,000,000+§Free§0§Everyone§Communication§July 28, 2018§1.3.4§4.1 and up
Browser 4G§COMMUNICATION§4.3§192948§6.6M§10,000,000+§Free§0§Everyone§Communication§June 19, 2018§24.6.6§4.0.3 - 7.1.1
Who§COMMUNICATION§4.3§2451083§Varies with device§100,000,000+§Free§0§Teen§Communication§August 3, 2018§Varies with device§Varies with device
Puffin Web Browser§COMMUNICATION§4.3§541389§Varies with device§10,000,000+§Free§0§Everyone§Communication§July 9, 2018§7.5.3.20547§4.1 and up
Seznam.cz§COMMUNICATION§4.3§46702§Varies with device§1,000,000+§Free§0§Everyone§Communication§July 4, 2018§Varies with device§Varies with device
GMX Mail§COMMUNICATION§4.3§258556§Varies with device§10,000,000+§Free§0§Everyone§Communication§July 25, 2018§Varies with device§Varies with device
Microsoft Edge§COMMUNICATION§4.3§27187§66M§5,000,000+§Free§0§Everyone§Communication§July 28, 2018§42.0.0.2059§4.4 and up
imo free video calls and chat§COMMUNICATION§4.3§4785988§11M§500,000,000+§Free§0§Everyone§Communication§June 8, 2018§9.8.000000010501§4.0 and up
Viber Messenger§COMMUNICATION§4.3§11334973§Varies with device§500,000,000+§Free§0§Everyone§Communication§July 18, 2018§Varies with device§Varies with device
Who§COMMUNICATION§4.3§2451093§Varies with device§100,000,000+§Free§0§Teen§Communication§August 3, 2018§Varies with device§Varies with device
chomp SMS§COMMUNICATION§4.3§335646§8.3M§10,000,000+§Free§0§Everyone§Communication§July 26, 2018§7.21§2.3 and up
Glide - Video Chat Messenger§COMMUNICATION§4.3§350154§Varies with device§10,000,000+§Free§0§Everyone§Communication§July 29, 2018§Varies with device§Varies with device
Google Allo§COMMUNICATION§4.3§346982§Varies with device§10,000,000+§Free§0§Everyone§Communication§January 23, 2018§Varies with device§4.1 and up
mysms SMS Text Messaging Sync§COMMUNICATION§4.3§37320§8.4M§1,000,000+§Free§0§Everyone§Communication§July 30, 2018§6.5.1§4.0.3 and up
BBM - Free Calls & Messages§COMMUNICATION§4.3§12842860§Varies with device§100,000,000+§Free§0§Everyone§Communication§August 2, 2018§Varies with device§4.0.3 and up
KakaoTalk: Free Calls & Text§COMMUNICATION§4.3§2546527§Varies with device§100,000,000+§Free§0§Everyone§Communication§August 3, 2018§Varies with device§Varies with device
Google Allo§COMMUNICATION§4.3§346980§Varies with device§10,000,000+§Free§0§Everyone§Communication§January 23, 2018§Varies with device§4.1 and up
Google Chrome: Fast & Secure§COMMUNICATION§4.3§9643041§Varies with device§1,000,000,000+§Free§0§Everyone§Communication§August 1, 2018§Varies with device§Varies with device
Puffin Web Browser§COMMUNICATION§4.3§541389§Varies with device§10,000,000+§Free§0§Everyone§Communication§July 9, 2018§7.5.3.20547§4.1 and up
DU Browser—Browse fast & fun§COMMUNICATION§4.3§1133501§4.7M§10,000,000+§Free§0§Everyone§Communication§April 1, 2016§6.4.0.4§4.0 and up
Viber Messenger§COMMUNICATION§4.3§11334973§Varies with device§500,000,000+§Free§0§Everyone§Communication§July 18, 2018§Varies with device§Varies with device
PHONE for Google Voice & GTalk§COMMUNICATION§4.3§72065§13M§1,000,000+§Free§0§Everyone§Communication§April 18, 2018§3.0.7§4.0 and up
Burner - Free Phone Number§COMMUNICATION§4.3§14873§Varies with device§1,000,000+§Free§0§Everyone§Communication§July 12, 2018§Varies with device§Varies with device
Gmail§COMMUNICATION§4.3§4604483§Varies with device§1,000,000,000+§Free§0§Everyone§Communication§August 2, 2018§Varies with device§Varies with device
Yahoo Mail – Stay Organized§COMMUNICATION§4.3§4188142§16M§100,000,000+§Free§0§Everyone§Communication§July 18, 2018§5.29.3§4.4 and up
Daum Mail - Next Mail§COMMUNICATION§4.3§41420§19M§5,000,000+§Free§0§Everyone§Communication§June 21, 2018§3.2.0§4.0 and up
SolMail - All-in-One email app§COMMUNICATION§4.3§23707§Varies with device§500,000+§Free§0§Everyone§Communication§August 9, 2017§2.3.17§Varies with device
imo free video calls and chat§COMMUNICATION§4.3§4785988§11M§500,000,000+§Free§0§Everyone§Communication§June 8, 2018§9.8.000000010501§4.0 and up
Viber Messenger§COMMUNICATION§4.3§11335255§Varies with device§500,000,000+§Free§0§Everyone§Communication§July 18, 2018§Varies with device§Varies with device
Glide - Video Chat Messenger§COMMUNICATION§4.3§350154§Varies with device§10,000,000+§Free§0§Everyone§Communication§July 29, 2018§Varies with device§Varies with device
KakaoTalk: Free Calls & Text§COMMUNICATION§4.3§2546527§Varies with device§100,000,000+§Free§0§Everyone§Communication§August 3, 2018§Varies with device§Varies with device
Mingle2 - Free Online Dating & Singles Chat Rooms§DATING§4.3§37053§44M§1,000,000+§Free§0§Mature 17+§Dating§August 3, 2018§4.4B§4.1 and up
Chat Rooms, Avatars, Date - Galaxy§DATING§4.3§135418§Varies with device§10,000,000+§Free§0§Mature 17+§Dating§July 7, 2018§Varies with device§Varies with device
FlirtChat - ♥Free Dating/Flirting App♥§DATING§4.3§2430§13M§500,000+§Free§0§Mature 17+§Dating§July 26, 2018§12.0.4§4.1 and up
Chat Rooms, Avatars, Date - Galaxy§DATING§4.3§135420§Varies with device§10,000,000+§Free§0§Mature 17+§Dating§July 7, 2018§Varies with device§Varies with device
Glam - Premium Dating App§DATING§4.3§23170§9.0M§500,000+§Free§0§Mature 17+§Dating§July 25, 2018§1.5.4.0§4.1 and up
Halalguur§DATING§4.3§6§9.0M§100+§Free§0§Mature 17+§Dating§July 26, 2018§3.7§4.0.3 and up
FlirtChat - ♥Free Dating/Flirting App♥§DATING§4.3§2433§13M§500,000+§Free§0§Mature 17+§Dating§July 26, 2018§12.0.4§4.1 and up
Babbel – Learn Languages§EDUCATION§4.3§266948§21M§10,000,000+§Free§0§Everyone§Education§July 30, 2018§20.7.2§4.4 and up
Thai Handwriting§EDUCATION§4.3§3168§19M§1,000,000+§Free§0§Everyone§Education§October 26, 2017§3.1§4.4 and up
Listen and learn English in seven days§EDUCATION§4.3§1516§3.9M§100,000+§Free§0§Everyone§Education§July 28, 2018§3.1§4.1 and up
Learn English from Persian: Persian to English§EDUCATION§4.3§423§21M§100,000+§Free§0§Everyone§Education§April 3, 2018§6.0§4.0.3 and up
C++ Programming§EDUCATION§4.3§11904§1.8M§1,000,000+§Free§0§Everyone§Education§August 22, 2015§2.0§2.3 and up
C Programming§EDUCATION§4.3§22251§1.8M§1,000,000+§Free§0§Everyone§Education§June 28, 2015§3.0§2.3 and up
Udacity - Lifelong Learning§EDUCATION§4.3§22384§17M§1,000,000+§Free§0§Everyone§Education§July 31, 2018§4.7.0§5.0 and up
Programming Hub, Learn to code§EDUCATION§4.3§55704§15M§1,000,000+§Free§0§Everyone§Education§August 4, 2018§4.2.8§4.1 and up
Pocket GMAT Math§EDUCATION§4.3§656§556k§10,000+§Free§0§Everyone§Education§July 11, 2014§1.1§2.2 and up
Magoosh GMAT Prep & Practice§EDUCATION§4.3§1058§Varies with device§100,000+§Free§0§Everyone§Education§June 18, 2018§Varies with device§Varies with device
Udacity - Lifelong Learning§EDUCATION§4.3§22384§17M§1,000,000+§Free§0§Everyone§Education§July 31, 2018§4.7.0§5.0 and up
Babbel – Learn Languages§EDUCATION§4.3§266935§21M§10,000,000+§Free§0§Everyone§Education§July 30, 2018§20.7.2§4.4 and up
busuu: Learn Languages - Spanish, English & More§EDUCATION§4.3§206527§21M§10,000,000+§Free§0§Everyone 10+§Education§August 1, 2018§13.9.0.161§5.0 and up
My Study Life - School Planner§EDUCATION§4.3§47847§21M§1,000,000+§Free§0§Everyone§Education§June 13, 2017§6.1.3§4.0.3 and up
HomeWork§EDUCATION§4.3§16195§5.2M§1,000,000+§Free§0§Everyone§Education§September 20, 2016§8.5.2§4.0 and up
Next Gen Science Standards§EDUCATION§4.3§206§18M§50,000+§Free§0§Everyone§Education§December 20, 2016§1.12.1§2.3 and up
Babbel – Learn Languages§EDUCATION§4.3§266948§21M§10,000,000+§Free§0§Everyone§Education§July 30, 2018§20.7.2§4.4 and up
busuu: Learn Languages - Spanish, English & More§EDUCATION§4.3§206532§21M§10,000,000+§Free§0§Everyone 10+§Education§August 1, 2018§13.9.0.161§5.0 and up
Chegg Study - Homework Help§EDUCATION§4.3§14700§21M§1,000,000+§Free§0§Everyone§Education§July 30, 2018§5.7.0§4.4 and up
busuu: Learn Languages - Spanish, English & More§EDUCATION§4.3§206532§21M§10,000,000+§Free§0§Everyone 10+§Education§August 1, 2018§13.9.0.161§5.0 and up
Tubi TV - Free Movies & TV§ENTERTAINMENT§4.3§296771§11M§10,000,000+§Free§0§Teen§Entertainment§July 15, 2018§2.13.5§4.1 and up
Google Play Games§ENTERTAINMENT§4.3§7165362§Varies with device§1,000,000,000+§Free§0§Teen§Entertainment§July 16, 2018§Varies with device§Varies with device
Hotstar§ENTERTAINMENT§4.3§4885646§Varies with device§100,000,000+§Free§0§Teen§Entertainment§August 3, 2018§Varies with device§Varies with device
H TV§ENTERTAINMENT§4.3§103078§5.6M§5,000,000+§Free§0§Everyone§Entertainment§July 5, 2018§4.6.2§2.3.3 and up
Viki: Asian TV Dramas & Movies§ENTERTAINMENT§4.3§407698§Varies with device§10,000,000+§Free§0§Teen§Entertainment§July 27, 2018§Varies with device§Varies with device
Adult Glitter Color by Number Book - Sandbox Pages§ENTERTAINMENT§4.3§8918§Varies with device§1,000,000+§Free§0§Everyone§Entertainment;Creativity§July 21, 2018§1.7§4.4 and up
Talking Ben the Dog§ENTERTAINMENT§4.3§1633682§57M§100,000,000+§Free§0§Everyone§Entertainment§July 3, 2018§3.5.2.2§4.1 and up
Regal Cinemas§ENTERTAINMENT§4.3§32732§Varies with device§1,000,000+§Free§0§Everyone§Entertainment§July 19, 2018§Varies with device§Varies with device
Harkins Theatres§ENTERTAINMENT§4.3§1511§12M§100,000+§Free§0§Everyone§Entertainment§June 11, 2018§2.1.1§4.1 and up
AMC Theatres§ENTERTAINMENT§4.3§44550§72M§1,000,000+§Free§0§Everyone§Entertainment§July 18, 2018§6.18.3§5.0 and up
STARZ§ENTERTAINMENT§4.3§88185§Varies with device§10,000,000+§Free§0§Mature 17+§Entertainment§June 20, 2018§Varies with device§Varies with device
SeriesGuide – Show & Movie Manager§ENTERTAINMENT§4.3§64448§4.4M§1,000,000+§Free§0§Mature 17+§Entertainment§July 21, 2018§43§4.0.3 and up
Tubi TV - Free Movies & TV§ENTERTAINMENT§4.3§296829§11M§10,000,000+§Free§0§Teen§Entertainment§July 15, 2018§2.13.5§4.1 and up
STARZ§ENTERTAINMENT§4.3§88185§Varies with device§10,000,000+§Free§0§Mature 17+§Entertainment§June 20, 2018§Varies with device§Varies with device
Tubi TV - Free Movies & TV§ENTERTAINMENT§4.3§296771§11M§10,000,000+§Free§0§Teen§Entertainment§July 15, 2018§2.13.5§4.1 and up
STARZ§ENTERTAINMENT§4.3§88185§Varies with device§10,000,000+§Free§0§Mature 17+§Entertainment§June 20, 2018§Varies with device§Varies with device
Viki: Asian TV Dramas & Movies§ENTERTAINMENT§4.3§407719§Varies with device§10,000,000+§Free§0§Teen§Entertainment§July 27, 2018§Varies with device§Varies with device
Sticker Market: Emoji keyboard§ENTERTAINMENT§4.3§303§44M§10,000+§Free§0§Teen§Entertainment§December 14, 2017§1.2.3§4.2 and up
Viki: Asian TV Dramas & Movies§ENTERTAINMENT§4.3§407719§Varies with device§10,000,000+§Free§0§Teen§Entertainment§July 27, 2018§Varies with device§Varies with device
Laugh Out Loud by Kevin Hart§ENTERTAINMENT§4.3§1856§20M§100,000+§Free§0§Teen§Entertainment§August 1, 2018§1.6.1§6.0 and up
Imgur: Find funny GIFs, memes & watch viral videos§ENTERTAINMENT§4.3§160164§12M§10,000,000+§Free§0§Teen§Entertainment§August 1, 2018§4.2.0.8447§5.0 and up
SketchBook - draw and paint§ENTERTAINMENT§4.3§256664§77M§10,000,000+§Free§0§Everyone§Entertainment§May 4, 2018§4.1.7§4.0.3 and up
Birthdays & Other Events§EVENTS§4.3§456§2.8M§50,000+§Free§0§Everyone§Events§June 21, 2018§1.75§2.3.3 and up
vide-greniers.org§EVENTS§4.3§5839§3.5M§100,000+§Free§0§Everyone§Events§November 8, 2016§16.11.8§2.3.3 and up
Capitec Remote Banking§FINANCE§4.3§20672§Varies with device§1,000,000+§Free§0§Everyone§Finance§May 8, 2018§Varies with device§Varies with device
UBA Mobile Banking§FINANCE§4.3§12185§Varies with device§1,000,000+§Free§0§Everyone§Finance§June 8, 2018§Varies with device§Varies with device
PayPal§FINANCE§4.3§659741§47M§50,000,000+§Free§0§Everyone§Finance§July 18, 2018§6.28.0§4.4 and up
Zenith Bank Mobile App§FINANCE§4.3§7215§18M§1,000,000+§Free§0§Everyone§Finance§July 23, 2018§2.7.4§4.0 and up
Acorns - Invest Spare Change§FINANCE§4.3§45957§Varies with device§1,000,000+§Free§0§Everyone§Finance§July 31, 2018§Varies with device§Varies with device
Chime - Mobile Banking§FINANCE§4.3§5928§22M§500,000+§Free§0§Everyone§Finance§July 22, 2018§5.1.1§5.0 and up
Credit Sesame§FINANCE§4.3§25166§11M§1,000,000+§Free§0§Everyone§Finance§July 25, 2018§3.1.16§4.1 and up
Mint: Budget, Bills, Finance§FINANCE§4.3§129304§Varies with device§5,000,000+§Free§0§Everyone§Finance§August 2, 2018§Varies with device§Varies with device
Acorns - Invest Spare Change§FINANCE§4.3§45962§Varies with device§1,000,000+§Free§0§Everyone§Finance§July 31, 2018§Varies with device§Varies with device
Webull - Stock Quotes & Free Stock Trading§FINANCE§4.3§34861§Varies with device§1,000,000+§Free§0§Everyone§Finance§August 3, 2018§Varies with device§Varies with device
Trading 212 - Forex, Stocks, CFDs§FINANCE§4.3§37580§Varies with device§5,000,000+§Free§0§Everyone§Finance§August 1, 2018§4.5.2.1§4.4 and up
Current debit card and app made for teens§FINANCE§4.3§685§21M§50,000+§Free§0§Everyone§Finance§August 3, 2018§3.0.22§4.4 and up
Mint: Budget, Bills, Finance§FINANCE§4.3§129304§Varies with device§5,000,000+§Free§0§Everyone§Finance§August 2, 2018§Varies with device§Varies with device
BBVA Compass Banking§FINANCE§4.3§5905§50M§500,000+§Free§0§Everyone§Finance§July 27, 2018§6.0.2§4.4 and up
PayPal§FINANCE§4.3§659760§47M§50,000,000+§Free§0§Everyone§Finance§July 18, 2018§6.28.0§4.4 and up
BankMobile Vibe App§FINANCE§4.3§14627§23M§1,000,000+§Free§0§Everyone§Finance§July 9, 2018§5.1§4.1 and up
Amex Mobile§FINANCE§4.3§24729§32M§1,000,000+§Free§0§Everyone§Finance§August 3, 2018§6.7.0§5.0 and up
Chick-fil-A§FOOD_AND_DRINK§4.3§28008§17M§5,000,000+§Free§0§Everyone§Food & Drink§August 3, 2018§6.0.1§5.0 and up
Delivery Club-food delivery: pizza, sushi, burger, salad§FOOD_AND_DRINK§4.3§151080§Varies with device§5,000,000+§Free§0§Everyone§Food & Drink§July 27, 2018§Varies with device§Varies with device
Delivery trough - delivery trough delivery trough§FOOD_AND_DRINK§4.3§58316§Varies with device§5,000,000+§Free§0§Everyone§Food & Drink§July 25, 2018§Varies with device§Varies with device
SONIC Drive-In§FOOD_AND_DRINK§4.3§19314§43M§1,000,000+§Free§0§Everyone§Food & Drink§July 31, 2018§3.3.6§4.4 and up
GialloZafferano: Recipes§FOOD_AND_DRINK§4.3§30224§Varies with device§1,000,000+§Free§0§Everyone§Food & Drink§May 28, 2018§Varies with device§Varies with device
BigOven Recipes, Meal Planner, Grocery List & More§FOOD_AND_DRINK§4.3§31986§76M§1,000,000+§Free§0§Teen§Food & Drink§November 23, 2017§5.7.23§5.0 and up
Zomato - Restaurant Finder and Food Delivery App§FOOD_AND_DRINK§4.3§511228§Varies with device§10,000,000+§Free§0§Everyone§Food & Drink§August 1, 2018§Varies with device§Varies with device
Eat24 Food Delivery & Takeout§FOOD_AND_DRINK§4.3§40116§Varies with device§1,000,000+§Free§0§Everyone§Food & Drink§August 2, 2018§Varies with device§Varies with device
Chick-fil-A§FOOD_AND_DRINK§4.3§28009§17M§5,000,000+§Free§0§Everyone§Food & Drink§August 3, 2018§6.0.1§5.0 and up
TheFork - Restaurants booking and special offers§FOOD_AND_DRINK§4.3§37517§17M§5,000,000+§Free§0§Everyone§Food & Drink§July 20, 2018§11.11.1§4.1 and up
Zomato - Restaurant Finder and Food Delivery App§FOOD_AND_DRINK§4.3§511420§Varies with device§10,000,000+§Free§0§Everyone§Food & Drink§August 1, 2018§Varies with device§Varies with device
Home workouts - fat burning, abs, legs, arms,chest§HEALTH_AND_FITNESS§4.3§4848§13M§1,000,000+§Free§0§Everyone§Health & Fitness§July 18, 2018§2.6§4.1 and up
Relax with Andrew Johnson Lite§HEALTH_AND_FITNESS§4.3§2885§Varies with device§100,000+§Free§0§Everyone§Health & Fitness§June 19, 2012§Varies with device§Varies with device
My Chakra Meditation 2§HEALTH_AND_FITNESS§4.3§1288§31M§100,000+§Free§0§Everyone§Health & Fitness§April 10, 2018§2.0.4§2.3.3 and up
Yoga Studio: Mind & Body§HEALTH_AND_FITNESS§4.3§5499§94M§100,000+§Free§0§Everyone§Health & Fitness§July 23, 2018§2.0.16§4.1 and up
My Cycles Period and Ovulation§HEALTH_AND_FITNESS§4.3§26652§41M§1,000,000+§Free§0§Everyone§Health & Fitness§May 4, 2018§2.3.3§4.0.3 and up
AllTrails: Hiking, Running & Mountain Bike Trails§HEALTH_AND_FITNESS§4.3§16943§32M§1,000,000+§Free§0§Everyone§Health & Fitness§July 30, 2018§8.8.14§4.4 and up
Health and Nutrition Guide§HEALTH_AND_FITNESS§4.3§7895§3.3M§500,000+§Free§0§Everyone§Health & Fitness§July 15, 2018§3.3§4.0 and up
Health and Nutrition Guide§HEALTH_AND_FITNESS§4.3§7895§3.3M§500,000+§Free§0§Everyone§Health & Fitness§July 15, 2018§3.3§4.0 and up
Binaural Beats Therapy§HEALTH_AND_FITNESS§4.3§13724§Varies with device§1,000,000+§Free§0§Everyone§Health & Fitness§August 17, 2017§Varies with device§Varies with device
Stop, Breathe & Think: Meditation & Mindfulness§HEALTH_AND_FITNESS§4.3§8576§Varies with device§1,000,000+§Free§0§Everyone§Health & Fitness§July 28, 2018§Varies with device§Varies with device
CYANOGEN. Rent, buy an apartment, a room, a cottage 3+§HOUSE_AND_HOME§4.3§37711§40M§1,000,000+§Free§0§Everyone§House & Home§July 31, 2018§2.51.0§4.4 and up
Gold Butterfly Keyboard Theme§HOUSE_AND_HOME§4.3§10054§9.1M§1,000,000+§Free§0§Everyone§House & Home§July 12, 2018§6.7.12.2018§4.0.3 and up
591 Housing Trading - Hong Kong§HOUSE_AND_HOME§4.3§3522§15M§100,000+§Free§0§Everyone§House & Home§August 2, 2018§3.10.8§4.0 and up
Mortgage by Zillow: Calculator & Rates§HOUSE_AND_HOME§4.3§4435§7.9M§500,000+§Free§0§Everyone§House & Home§March 2, 2016§2.6.0.287§4.0 and up
Home Security Camera WardenCam - reuse old phones§HOUSE_AND_HOME§4.3§43800§Varies with device§1,000,000+§Free§0§Everyone§House & Home§July 6, 2018§Varies with device§Varies with device
Apartments.com Rental Search§HOUSE_AND_HOME§4.3§22584§16M§1,000,000+§Free§0§Everyone§House & Home§July 16, 2018§4.7.13§4.4 and up
Home Decor Showpiece Art making: Medium Difficulty§HOUSE_AND_HOME§4.3§273§7.0M§50,000+§Free§0§Everyone§House & Home§May 30, 2018§1.2§4.0.3 and up
Mortgage by Zillow: Calculator & Rates§HOUSE_AND_HOME§4.3§4435§7.9M§500,000+§Free§0§Everyone§House & Home§March 2, 2016§2.6.0.287§4.0 and up
Homesnap Real Estate & Rentals§HOUSE_AND_HOME§4.3§3834§30M§500,000+§Free§0§Everyone§House & Home§July 31, 2018§5.20.38§4.2 and up
Apartments.com Rental Search§HOUSE_AND_HOME§4.3§22584§16M§1,000,000+§Free§0§Everyone§House & Home§July 16, 2018§4.7.13§4.4 and up
Pink Water Sakura Keyboard Theme§LIBRARIES_AND_DEMO§4.3§1465§7.0M§100,000+§Free§0§Everyone§Libraries & Demo§July 9, 2018§6.7.5§4.0.3 and up
chicken song§LIBRARIES_AND_DEMO§4.3§434§16M§100,000+§Free§0§Everyone§Libraries & Demo§June 6, 2018§6.0.0§2.3 and up
Binaural Beats Meditation§LIBRARIES_AND_DEMO§4.3§411§95M§50,000+§Free§0§Everyone§Libraries & Demo§June 8, 2018§5.0§4.0.3 and up
SAMSUNG RETAILMODE 2018§LIBRARIES_AND_DEMO§4.3§6§5.5M§10,000+§Free§0§Everyone§Libraries & Demo§August 3, 2018§8.0.20180212§4.2 and up
Easy Hair Style Design§LIFESTYLE§4.3§601§5.1M§100,000+§Free§0§Everyone§Lifestyle§December 20, 2017§1.0§2.3 and up
Easy Makeup Tutorials§LIFESTYLE§4.3§7287§5.0M§1,000,000+§Free§0§Everyone§Lifestyle§November 3, 2016§1.0§2.3 and up
FOSSIL Q: DESIGN YOUR DIAL§LIFESTYLE§4.3§985§16M§500,000+§Free§0§Everyone§Lifestyle§May 31, 2018§3.7§7.0 and up
Safeway§LIFESTYLE§4.3§33572§37M§1,000,000+§Free§0§Everyone§Lifestyle§August 2, 2018§6.2.0§4.4 and up
