App§Category§Rating§Reviews§Size§Installs§Type§Price§Content Rating§Genres§Last Updated§Current Ver§Android Ver
Tattoo Name On My Photo Editor§ART_AND_DESIGN§4.2§44829§20M§10,000,000+§Free§0§Teen§Art & Design§April 2, 2018§3.8§4.1 and up
Pink Silver Bow Keyboard Theme§ART_AND_DESIGN§4.2§1120§9.2M§100,000+§Free§0§Everyone§Art & Design§July 12, 2018§6.7.12.2018§4.0.3 and up
Easy Origami Ideas§ART_AND_DESIGN§4.2§1015§11M§100,000+§Free§0§Everyone§Art & Design§January 6, 2018§1.1.0§4.1 and up
Drawing Clothes Fashion Ideas§ART_AND_DESIGN§4.2§117§15M§10,000+§Free§0§Everyone§Art & Design§July 20, 2018§2.0.1§4.0.3 and up
Popsicle Sticks and Similar DIY Craft Ideas§ART_AND_DESIGN§4.2§26§12M§10,000+§Free§0§Everyone§Art & Design§January 3, 2018§1.0.0§4.1 and up
Little Teddy Bear Colouring Book Game§ART_AND_DESIGN§4.2§85§8.0M§100,000+§Free§0§Everyone§Art & Design§December 17, 2017§2.0.0§4.1 and up
Monster Truck Stunt 3D 2019§AUTO_AND_VEHICLES§4.2§367§25M§100,000+§Free§0§Everyone§Auto & Vehicles§May 10, 2018§1.0§4.0.3 and up
Extreme Rally Championship§AUTO_AND_VEHICLES§4.2§129§54M§100,000+§Free§0§Everyone§Auto & Vehicles§July 26, 2018§3.0§4.1 and up
Used cars for sale - Trovit§AUTO_AND_VEHICLES§4.2§52530§7.0M§5,000,000+§Free§0§Everyone§Auto & Vehicles§July 16, 2018§4.47.3§4.0.3 and up
Android Auto - Maps, Media, Messaging & Voice§AUTO_AND_VEHICLES§4.2§271920§16M§10,000,000+§Free§0§Teen§Auto & Vehicles§July 11, 2018§Varies with device§5.0 and up
Beauty Selfie Camera§BEAUTY§4.2§2225§52M§500,000+§Free§0§Everyone§Beauty§February 28, 2018§1.6§4.1 and up
Selfie Camera§BEAUTY§4.2§17934§Varies with device§1,000,000+§Free§0§Everyone§Beauty§September 12, 2017§Varies with device§Varies with device
Eyes Makeup Beauty Tips§BEAUTY§4.2§30§2.9M§10,000+§Free§0§Everyone§Beauty§April 9, 2018§3.3.9§4.0.3 and up
Girls hairstyles 2018§BEAUTY§4.2§62§3.1M§10,000+§Free§0§Everyone§Beauty§May 28, 2018§1.9.2§4.0.3 and up
Amazon Kindle§BOOKS_AND_REFERENCE§4.2§814080§Varies with device§100,000,000+§Free§0§Teen§Books & Reference§July 27, 2018§Varies with device§Varies with device
Offline English Dictionary§BOOKS_AND_REFERENCE§4.2§860§13M§100,000+§Free§0§Everyone§Books & Reference§July 17, 2018§1.0§4.0.3 and up
Spanish English Translator§BOOKS_AND_REFERENCE§4.2§87873§Varies with device§10,000,000+§Free§0§Teen§Books & Reference§May 28, 2018§Varies with device§Varies with device
HTC Help§BOOKS_AND_REFERENCE§4.2§8342§Varies with device§10,000,000+§Free§0§Everyone§Books & Reference§August 28, 2017§9.00.950462§7.0 and up
OfficeSuite Pro + PDF (Trial)§BUSINESS§4.2§88073§Varies with device§10,000,000+§Free§0§Everyone§Business§July 9, 2018§Varies with device§Varies with device
Box§BUSINESS§4.2§159872§Varies with device§10,000,000+§Free§0§Everyone§Business§July 31, 2018§Varies with device§Varies with device
Polaris Office for LG§BUSINESS§4.2§30847§55M§5,000,000+§Free§0§Everyone§Business§February 8, 2018§7.3.21§4.1 and up
Quick PDF Scanner + OCR FREE§BUSINESS§4.2§80805§Varies with device§5,000,000+§Free§0§Everyone§Business§February 26, 2018§Varies with device§4.0.3 and up
Quick PDF Scanner + OCR FREE§BUSINESS§4.2§80805§Varies with device§5,000,000+§Free§0§Everyone§Business§February 26, 2018§Varies with device§4.0.3 and up
Mobile Doc Scanner (MDScan) Lite§BUSINESS§4.2§46505§19M§1,000,000+§Free§0§Everyone§Business§August 2, 2018§3.4.49§4.1 and up
Box§BUSINESS§4.2§159872§Varies with device§10,000,000+§Free§0§Everyone§Business§July 31, 2018§Varies with device§Varies with device
Zenefits§BUSINESS§4.2§296§14M§50,000+§Free§0§Everyone§Business§June 15, 2018§3.2.1§4.1 and up
Invoice 2go — Professional Invoices and Estimates§BUSINESS§4.2§16422§28M§1,000,000+§Free§0§Everyone§Business§August 1, 2018§10.46.2§4.1 and up
Cisco Webex Teams§BUSINESS§4.2§1661§46M§100,000+§Free§0§Everyone§Business§August 2, 2018§3.0.4651§4.4 and up
Microsoft Remote Desktop§BUSINESS§4.2§97702§Varies with device§5,000,000+§Free§0§Everyone§Business§July 11, 2018§Varies with device§Varies with device
Box§BUSINESS§4.2§159872§Varies with device§10,000,000+§Free§0§Everyone§Business§July 31, 2018§Varies with device§Varies with device
Zenefits§BUSINESS§4.2§296§14M§50,000+§Free§0§Everyone§Business§June 15, 2018§3.2.1§4.1 and up
Invoice 2go — Professional Invoices and Estimates§BUSINESS§4.2§16422§28M§1,000,000+§Free§0§Everyone§Business§August 1, 2018§10.46.2§4.1 and up
Quick PDF Scanner + OCR FREE§BUSINESS§4.2§80804§Varies with device§5,000,000+§Free§0§Everyone§Business§February 26, 2018§Varies with device§4.0.3 and up
Mobile Doc Scanner (MDScan) Lite§BUSINESS§4.2§46505§19M§1,000,000+§Free§0§Everyone§Business§August 2, 2018§3.4.49§4.1 and up
DC Comics§COMICS§4.2§25671§Varies with device§1,000,000+§Free§0§Teen§Comics§June 5, 2018§Varies with device§Varies with device
Manga Zero - Japanese cartoon and comic reader§COMICS§4.2§15194§15M§1,000,000+§Free§0§Teen§Comics§July 19, 2018§4.7.3§4.2 and up
Funny Jokes and Stories 2018§COMICS§4.2§21§6.7M§5,000+§Free§0§Everyone§Comics§March 31, 2018§1.3§4.0 and up
Google Voice§COMMUNICATION§4.2§171031§Varies with device§10,000,000+§Free§0§Everyone§Communication§August 3, 2018§Varies with device§Varies with device
Skype Lite - Free Video Call & Chat§COMMUNICATION§4.2§33053§22M§5,000,000+§Free§0§Everyone§Communication§July 31, 2018§1.60.0.31354-release§4.0.3 and up
WeChat§COMMUNICATION§4.2§5387333§Varies with device§100,000,000+§Free§0§Everyone§Communication§July 31, 2018§Varies with device§Varies with device
Android Messages§COMMUNICATION§4.2§781810§Varies with device§100,000,000+§Free§0§Everyone§Communication§August 1, 2018§Varies with device§Varies with device
Calls & Text by Mo+§COMMUNICATION§4.2§83239§14M§5,000,000+§Free§0§Everyone§Communication§April 19, 2018§3.0.4§4.0 and up
free video calls and chat§COMMUNICATION§4.2§594728§Varies with device§50,000,000+§Free§0§Everyone§Communication§July 19, 2018§7.3(800241)§4.4 and up
WeChat§COMMUNICATION§4.2§5387446§Varies with device§100,000,000+§Free§0§Everyone§Communication§July 31, 2018§Varies with device§Varies with device
Google Voice§COMMUNICATION§4.2§171031§Varies with device§10,000,000+§Free§0§Everyone§Communication§August 3, 2018§Varies with device§Varies with device
Android Messages§COMMUNICATION§4.2§781810§Varies with device§100,000,000+§Free§0§Everyone§Communication§August 1, 2018§Varies with device§Varies with device
Talkray - Free Calls & Texts§COMMUNICATION§4.2§244863§Varies with device§10,000,000+§Free§0§Everyone§Communication§May 29, 2018§Varies with device§Varies with device
LINE: Free Calls & Messages§COMMUNICATION§4.2§10790289§Varies with device§500,000,000+§Free§0§Everyone§Communication§July 26, 2018§Varies with device§Varies with device
2ndLine - Second Phone Number§COMMUNICATION§4.2§15880§32M§1,000,000+§Free§0§Everyone§Communication§August 3, 2018§5.65.0§4.0 and up
Ninesky Browser§COMMUNICATION§4.2§42925§2.8M§1,000,000+§Free§0§Everyone§Communication§August 27, 2017§6.1§2.3 and up
InBrowser - Incognito Browsing§COMMUNICATION§4.2§27156§Varies with device§1,000,000+§Free§0§Everyone§Communication§May 31, 2018§Varies with device§Varies with device
Web Browser§COMMUNICATION§4.2§10965§2.3M§500,000+§Free§0§Everyone§Communication§February 2, 2015§2.0§3.0 and up
Contacts+§COMMUNICATION§4.2§190613§11M§10,000,000+§Free§0§Everyone§Communication§July 31, 2018§5.85.1§4.0.3 and up
ExDialer - Dialer & Contacts§COMMUNICATION§4.2§125232§2.7M§10,000,000+§Free§0§Everyone§Communication§March 5, 2017§196§2.1 and up
Calls & Text by Mo+§COMMUNICATION§4.2§83239§14M§5,000,000+§Free§0§Everyone§Communication§April 19, 2018§3.0.4§4.0 and up
Full Screen Caller ID§COMMUNICATION§4.2§104990§10M§5,000,000+§Free§0§Everyone§Communication§May 15, 2018§3.5.0§4.0.3 and up
Mr. Number-Block calls & spam§COMMUNICATION§4.2§177263§13M§10,000,000+§Free§0§Mature 17+§Communication§July 13, 2018§5.1.2-6310§5.0 and up
Video Caller Id§COMMUNICATION§4.2§15287§17M§1,000,000+§Free§0§Everyone§Communication§January 24, 2018§2.2.245§4.0.3 and up
K-9 Mail§COMMUNICATION§4.2§88427§5.1M§5,000,000+§Free§0§Everyone§Communication§January 6, 2018§5.403§4.0.3 and up
GO Notifier§COMMUNICATION§4.2§124346§695k§10,000,000+§Free§0§Everyone§Communication§July 6, 2014§2.8§2.0 and up
mail.com mail§COMMUNICATION§4.2§44706§Varies with device§1,000,000+§Free§0§Everyone§Communication§July 25, 2018§Varies with device§Varies with device
